sno,category,english,hindi,tamil,malayalam,isl_gloss,meaning,has_local_video
1,Question Words,Who,कौन,யார்,ആർ,WHO,Person,yes
2,Question Words,What,क्या,என்ன,എന്ത്,WHAT,Thing / Information,yes
3,Question Words,Where,कहाँ,எங்கே,എവിടെ,WHERE,Place,yes
4,Question Words,When,कब,எப்போது,എപ്പോൾ,WHEN,Time,yes
5,Question Words,Why,क्यों,ஏன்,എന്തുകൊണ്ട്,WHY,Reason,yes
6,Question Words,Which,कौन,எது,ഏത്,WHICH,Choice,yes
7,Question Words,Whose,किसका,யாருடைய,ആരുടെ,WHOSE,Ownership,yes
8,Question Words,How,कैसे,எப்படி,എങ്ങനെ,HOW,Method / Manner,yes
9,Question Words,How Many,कितने,எத்தனை,എത്ര,HOW-MANY,Countable quantity,yes
10,Question Words,How Much,कितना,எவ்வளவு,എത്ര,HOW-MUCH,Amount / Price,yes
11,Question Words,How Long,कितनी देर,எவ்வளவு நேரம்,എത്ര നേരം,HOW-LONG,Duration / Length,yes
12,Question Words,How Often,कितनी बार,எவ்வளவு அடிக்கடி,എത്ര തവണ,HOW-OFTEN,Frequency,yes
13,Question Words,How Far,कितनी दूर,எவ்வளவு தூரம்,എത്ര ദൂരം,HOW-FAR,Distance,yes
14,Question Words,How Old,कितने साल का,எத்தனை வயது,എത്ര വയസ്സ്,HOW-OLD,Age,yes
15,Question Words,What Time,कितने बजे,எத்தனை மணி,എത്ര മണി,WHAT-TIME,Specific time,yes
16,Question Words,What Kind,किस तरह का,எந்த வகை,എന്ത് തരം,WHAT-KIND,Type,yes
17,Question Words,For What,किस लिए,எதற்காக,എന്തിന്,FOR-WHAT,Purpose,yes
18,Question Words,Since When,कब से,எப்போதிருந்து,എപ്പോൾ മുതൽ,SINCE-WHEN,Starting time,yes
19,Question Words,Until When,कब तक,எப்போது வரை,എപ്പോൾ വരെ,UNTIL-WHEN,Ending time,yes
20,Question Words,How Come,कैसे,எப்படி,എങ്ങനെ,HOW-COME,Reason,yes
21,Greetings & Politeness,Hello,नमस्ते,வணக்கம்,ഹലോ,HELLO,General greeting,yes
22,Greetings & Politeness,Hi,नमस्ते,வணக்கம்,ഹായ്,HI,Casual greeting,yes
23,Greetings & Politeness,Hey,अरे,ஏய்,ഹേയ്,HEY,Casual greeting,yes
24,Greetings & Politeness,Good Morning,सुप्रभात,காலை வணக்கம்,സുപ്രഭാതം,GOOD-MORNING,Morning greeting,yes
25,Greetings & Politeness,Good Afternoon,नमस्कार,மதிய வணக்கம்,ഗുഡ് ആഫ്റ്റർനൂൺ,GOOD-AFTERNOON,Afternoon greeting,yes
26,Greetings & Politeness,Good Evening,शुभ संध्या,மாலை வணக்கம்,ഗുഡ് ഈവനിംഗ്,GOOD-EVENING,Evening greeting,yes
27,Greetings & Politeness,Welcome,स्वागत,வரவேற்கிறேன்,സ്വാഗതം,WELCOME,Greeting someone arriving,yes
28,Greetings & Politeness,How Are You?,आप कैसे हैं?,நீங்கள் எப்படி இருக்கிறீர்கள்?,സുഖമാണോ?,HOW-YOU,Ask about well-being,yes
29,Greetings & Politeness,Nice To Meet You,आपसे मिलकर खुशी हुई,உங்களை சந்தித்ததில் மகிழ்ச்சி,കണ്ടതിൽ സന്തോഷം,NICE-MEET-YOU,First introduction,yes
30,Greetings & Politeness,Good To See You,आपको देखकर अच्छा लगा,உங்களை பார்த்ததில் மகிழ்ச்சி,കണ്ടതിൽ സന്തോഷം,GOOD-SEE-YOU,Friendly greeting,yes
31,Greetings & Politeness,Goodbye,अलविदा,விடைபெறுகிறேன்,വിട,GOODBYE,Leaving,yes
32,Greetings & Politeness,Bye,अलविदा,விடைபெறுகிறேன்,വിട,BYE,Casual farewell,yes
33,Greetings & Politeness,See You Later,फिर मिलेंगे,பிறகு சந்திப்போம்,പിന്നീട് കാണാം,SEE-YOU-LATER,Casual farewell,yes
34,Greetings & Politeness,See You Tomorrow,कल मिलते हैं,நாளை சந்திப்போம்,നാളെ കാണാം,SEE-YOU-TOMORROW,Farewell,yes
35,Greetings & Politeness,Have A Nice Day,आपका दिन शुभ हो,நல்ல நாள்,ശുഭദിനം,HAVE-NICE-DAY,Polite farewell,no
36,Greetings & Politeness,Have A Good Weekend,आपका सप्ताहांत अच्छा रहे,நல்ல வார இறுதியில் இருக்கட்டும்,നല്ലൊരു വാരാന്ത്യം ആശംസിക്കുന്നു,HAVE-GOOD-WEEKEND,Weekend farewell,no
37,Greetings & Politeness,Please,कृपया,தயவுசெய்து,ദയവായി,PLEASE,Polite request,yes
38,Greetings & Politeness,Thank You,धन्यवाद,நன்றி,നന്ദി,THANK-YOU,Gratitude,yes
39,Greetings & Politeness,Thanks A Lot,बहुत धन्यवाद,மிக்க நன்றி,വളരെ നന്ദി,THANK-YOU,Strong gratitude,yes
40,Greetings & Politeness,You're Welcome,आपका स्वागत है,வரவேற்கிறோம்,സ്വാഗതം,WELCOME,Response to thanks,yes
41,Greetings & Politeness,Excuse Me,माफ़ कीजिए,மன்னிக்கவும்,ക്ഷമിക്കണം,EXCUSE-ME,Attention / apology,yes
42,Greetings & Politeness,Sorry,क्षमा मांगना,மன்னிக்கவும்,ക്ഷമിക്കണം,SORRY,Apology,yes
43,Greetings & Politeness,Pardon Me,क्षमा करें,மன்னிக்கவும்,ക്ഷമിക്കണം,EXCUSE-ME,Polite apology,yes
44,Greetings & Politeness,No Problem,कोई बात नहीं,பரவாயில்லை,പ്രശ്നമില്ല,NO-PROBLEM,Reassurance,yes
45,Greetings & Politeness,Good Luck,शुभकामनाएँ,நல்வாழ்த்துகள்,ആശംസകൾ,GOOD-LUCK,Well wishes,yes
46,Greetings & Politeness,Congratulations,बधाई हो,வாழ்த்துக்கள்,അഭിനന്ദനങ്ങൾ,CONGRATULATIONS,Celebration,yes
47,Greetings & Politeness,Take Care,अपना ख्याल रखना,பாதுகாப்பாக இருங்கள்,ശ്രദ്ധിക്കുക,TAKE-CARE,Friendly farewell,yes
48,Greetings & Politeness,Safe Trip,सुरक्षित यात्रा,பாதுகாப்பான பயணம்,സുരക്ഷിതമായ യാത്ര,SAFE-TRIP,Travel farewell,yes
49,Greetings & Politeness,Bless You,भगवान आपका भला करे,ஆசீர்வாதம்,ആശീർവാദം,BLESS-YOU,After sneeze,yes
50,Greetings & Politeness,Happy Birthday,जन्मदिन मुबारक,பிறந்தநாள் வாழ்த்துகள்,ജന്മദിനാശംസകൾ,HAPPY-BIRTHDAY,Birthday wish,yes
51,People & Pronouns,I,मैं,நான்,ഞാൻ,ME,First person,yes
52,People & Pronouns,You,आप,நீ,നിങ്ങൾ,YOU,Second person,yes
53,People & Pronouns,He,वह,அவர்,അവൻ,HE,Male third person,yes
54,People & Pronouns,She,वह,அவள்,അവൾ,SHE,Female third person,yes
55,People & Pronouns,It,यह,அது,അത്,IT,Object / animal,yes
56,People & Pronouns,We,हम,நாங்கள்,ഞങ്ങൾ,WE,First person plural,yes
57,People & Pronouns,They,वे,அவர்கள்,അവർ,THEY,Third person plural,yes
58,People & Pronouns,My,मेरा,என்,എൻ്റെ,MY,Possessive,yes
59,People & Pronouns,Your,आपका,உங்கள்,നിങ്ങളുടെ,YOUR,Possessive,yes
60,People & Pronouns,His,उसका,அவரது,അവൻ്റെ,HIS,Possessive,yes
61,People & Pronouns,Her,उसकी,அவளை,അവളെ,HER,Possessive,yes
62,People & Pronouns,Our,हमारा,எங்கள்,ഞങ്ങളുടെ,OUR,Possessive,yes
63,People & Pronouns,Their,उनका,அவர்களின்,അവരുടെ,THEIR,Possessive,yes
64,People & Pronouns,Person,व्यक्ति,நபர்,വ്യക്തി,PERSON,Individual,yes
65,People & Pronouns,Adult,वयस्क,வயது வந்தோர்,മുതിർന്നവർ,ADULT,Grown person,yes
66,People & Pronouns,Child,बच्चा,குழந்தை,കുട്ടി,CHILD,Young person,yes
67,People & Pronouns,Teenager,किशोर,இளம்பெண்,കൗമാരക്കാരൻ,TEENAGER,Adolescent,yes
68,People & Pronouns,Baby,बच्चा,குழந்தை,കുഞ്ഞ്,BABY,Infant,yes
69,People & Pronouns,Friend,दोस्त,நண்பர்,സുഹൃത്ത്,FRIEND,Companion,yes
70,People & Pronouns,Best Friend,सबसे अच्छा दोस्त,சிறந்த நண்பர்,ഏറ്റവും നല്ല സുഹൃത്ത്,BEST-FRIEND,Close friend,yes
71,People & Pronouns,Neighbor,पड़ोसी,பக்கத்து வீட்டுக்காரர்,അയൽക്കാരൻ,NEIGHBOR,Nearby resident,yes
72,People & Pronouns,Coworker,साथ में कम करने वाला,சக பணியாளர்,സഹപ്രവർത്തകൻ,COWORKER,Work colleague,no
73,People & Pronouns,Teacher,अध्यापक,ஆசிரியர்,അധ്യാപകൻ,TEACHER,Educator,yes
74,People & Pronouns,Student,विद्यार्थी,மாணவர்,വിദ്യാർത്ഥി,STUDENT,Learner,yes
75,People & Pronouns,Doctor,चिकित्सक,மருத்துவர்,ഡോക്ടർ,DOCTOR,Medical professional,yes
76,People & Pronouns,Nurse,देखभाल करना,செவிலியர்,നഴ്സ്,NURSE,Medical caregiver,yes
77,People & Pronouns,Engineer,अभियंता,பொறியாளர்,എഞ്ചിനീയർ,ENGINEER,Technical professional,yes
78,People & Pronouns,Programmer,प्रोग्रामर,புரோகிராமர்,പ്രോഗ്രാമർ,PROGRAMMER,Software developer,yes
79,People & Pronouns,Manager,प्रबंधक,மேலாளர்,മാനേജർ,MANAGER,Supervisor,yes
80,People & Pronouns,Boss,मालिक,முதலாளி,മുതലാളി,BOSS,Employer lead,yes
81,People & Pronouns,Employee,कर्मचारी,பணியாளர்,ജീവനക്കാരൻ,EMPLOYEE,Worker,yes
82,Family,Family,परिवार,குடும்பம்,കുടുംബം,FAMILY,Relatives,yes
83,Family,Father,पिता,தந்தை,അച്ഛൻ,FATHER,Male parent,yes
84,Family,Mother,माँ,தாய்,അമ്മ,MOTHER,Female parent,yes
85,Family,Parents,अभिभावक,பெற்றோர்கள்,മാതാപിതാക്കൾ,PARENTS,Mother and father,yes
86,Family,Son,बेटा,மகன்,മകൻ,SON,Male child,yes
87,Family,Daughter,बेटी,மகள்,മകൾ,DAUGHTER,Female child,yes
88,Family,Brother,भाई,அண்ணன்,സഹോദരൻ,BROTHER,Male sibling,yes
89,Family,Sister,बहन,சகோதரி,സഹോദരി,SISTER,Female sibling,yes
90,Family,Husband,पति,கணவன்,ഭർത്താവ്,HUSBAND,Male spouse,yes
91,Family,Wife,पत्नी,மனைவி,ഭാര്യ,WIFE,Female spouse,yes
92,Family,Grandfather,दादा,தாத்தா,മുത്തച്ഛൻ,GRANDFATHER,Father's/mother's father,yes
93,Family,Grandmother,दादी,பாட்டி,മുത്തശ്ശി,GRANDMOTHER,Father's/mother's mother,yes
94,Family,Uncle,चाचा,மாமா,അമ്മാവൻ,UNCLE,Parent's brother,yes
95,Family,Aunt,चाची,அத்தை,അമ്മായി,AUNT,Parent's sister,yes
96,Family,Cousin,चचेरा,உறவினர்,ബന്ധു,COUSIN,Extended family,yes
97,Family,Nephew,भतीजा,மருமகன்,മരുമകൻ,NEPHEW,Sibling's son,yes
98,Family,Niece,भतीजी,மருமகள்,മരുമകൾ,NIECE,Sibling's daughter,yes
99,Family,Grandchild,पोता,பேரக்குழந்தை,പേരക്കുട്ടി,GRANDCHILD,Child's child,no
100,Family,Relative,रिश्तेदार,உறவினர்,ബന്ധു,RELATIVE,Family member,yes
101,Family,In-Law,ससुराल वाले,மாமியார்,ഇൻ ലോ,IN-LAW,Marriage relation,yes
